Date,Open,High,Low,Close,Volume,FEDFUNDS,CPI,DPI
2010-01-01,2294.409912,2326.280029,2140.340088,2147.350098,45625830000,0.11,91.76050663,11644.6
2010-02-01,2155.810059,2251.679932,2100.169922,2238.26001,42835360000,0.13,91.67317112,11655.6
2010-03-01,2247.399902,2432.25,2247.330078,2397.959961,54955550000,0.16,91.70354869,11702.1
2010-04-01,2411.679932,2535.280029,2383.77002,2461.189941,54528540000,0.2,91.72464422,11799.8
2010-05-01,2472.320068,2503,2140.530029,2257.040039,57203120000,0.2,91.67696832,11887.9
2010-06-01,2244.790039,2341.110107,2105.26001,2109.23999,48633730000,0.18,91.63857445,11895
2010-07-01,2110.75,2307.600098,2061.139893,2254.699951,43910370000,0.18,91.80987018,11910.8
2010-08-01,2283.320068,2309.429932,2099.290039,2114.030029,41794240000,0.19,91.94403777,11949.7
2010-09-01,2142.75,2400.060059,2141.949951,2368.620117,41586870000,0.19,92.09255032,11949.4
2010-10-01,2386.820068,2517.5,2332.459961,2507.409912,41539760000,0.19,92.41320243,11950.4
2010-11-01,2520.449951,2592.939941,2459.790039,2498.22998,40893560000,0.19,92.64736285,11960.5
2010-12-01,2535.189941,2675.26001,2535.189941,2652.870117,36306890000,0.18,93.01948805,12030.1
2011-01-01,2676.649902,2766.169922,2663.639893,2700.080078,40221760000,0.17,93.32115418,12084.4
2011-02-01,2717.610107,2840.51001,2705.540039,2782.27002,39225340000,0.16,93.62113266,12117
2011-03-01,2791.080078,2802.320068,2603.5,2781.070068,45049990000,0.14,94.1054861,12083.3
2011-04-01,2796.669922,2876.830078,2706.5,2873.540039,38024600000,0.1,94.54722657,12061.3
2011-05-01,2881.280029,2887.75,2739.850098,2835.300049,42067110000,0.09,94.84804887,12043.2
2011-06-01,2829.389893,2834.050049,2599.860107,2773.52002,42570710000,0.09,94.84804887,12087.9
2011-07-01,2775.080078,2878.939941,2724.98999,2756.379883,37282980000,0.07,95.09655426,12128.6
2011-08-01,2791.449951,2796.23999,2331.649902,2579.459961,56977870000,0.1,95.39653274,12120.6
2011-09-01,2583.340088,2643.370117,2414.310059,2415.399902,42996470000,0.08,95.60369087,12104
2011-10-01,2401.189941,2753.370117,2298.889893,2684.409912,42787830000,0.07,95.66824321,12117
2011-11-01,2607.310059,2730.389893,2441.47998,2620.340088,38397210000,0.08,95.84502377,12112.6
2011-12-01,2615.669922,2674.530029,2518.01001,2605.149902,33177490000,0.07,95.86780695,12227.3
2012-01-01,2657.389893,2834.300049,2627.22998,2813.840088,35325900000,0.08,96.12896965,12311.1
2012-02-01,2830.100098,3000.110107,2825.189941,2966.889893,37728460000,0.1,96.33444015,12384.8
2012-03-01,2979.110107,3134.169922,2900.280029,3091.570068,36686310000,0.13,96.53611344,12431.1
2012-04-01,3085.939941,3128.25,2946.040039,3046.360107,33793990000,0.14,96.6964395,12486.5
2012-05-01,3044.790039,3085.399902,2774.449951,2827.340088,40115930000,0.16,96.49645384,12490.2
2012-06-01,2810.129883,2942.280029,2726.679932,2935.050049,37458650000,0.16,96.41671273,12482.6
2012-07-01,2938.409912,2987.939941,2837.719971,2939.52002,34686680000,0.16,96.44455883,12396.5
2012-08-01,2956.719971,3100.540039,2890.850098,3066.959961,35708950000,0.13,97.00485619,12364.4
2012-09-01,3063.25,3196.929932,3040.23999,3116.22998,33719730000,0.14,97.46769219,12453.3
2012-10-01,3130.310059,3171.459961,2961.159912,2977.22998,36367020000,0.16,97.73054253,12538.2
2012-11-01,2987.540039,3033.850098,2810.800049,3010.23999,36894240000,0.16,97.56641929,12702.9
2012-12-01,3029.209961,3061.820068,2951.040039,3019.51001,33522490000,0.16,97.55460579,13011.6
2013-01-01,3091.330078,3164.060059,3076.600098,3142.129883,39027620000,0.14,97.74784087,12258.9
2013-02-01,3162.939941,3213.600098,3105.360107,3160.189941,35765430000,0.15,98.27860449,12224.9
2013-03-01,3143.540039,3270.300049,3129.399902,3267.52002,33749180000,0.14,98.002253,12262.1
2013-04-01,3268.629883,3328.790039,3154.959961,3328.790039,36904330000,0.15,97.79762633,12299
2013-05-01,3325.350098,3532.040039,3296.5,3455.909912,39144080000,0.11,97.83812975,12358.6
2013-06-01,3460.76001,3488.310059,3294.949951,3403.25,37528250000,0.09,98.07102444,12361.7
2013-07-01,3430.47998,3649.350098,3415.22998,3626.370117,35889520000,0.09,98.26299379,12350.6
2013-08-01,3654.179932,3694.189941,3573.570068,3589.870117,32934650000,0.08,98.49757612,12379.6
2013-09-01,3622.639893,3798.76001,3593.620117,3771.47998,34997740000,0.08,98.53470426,12431.5
2013-10-01,3774.179932,3966.709961,3650.030029,3919.709961,43017190000,0.09,98.58744309,12395.1
2013-11-01,3932.449951,4069.699951,3855.070068,4059.889893,35818470000,0.08,98.76928659,12426.2
